ts_code,name,momentum,current_price,rsi,pullback,volatility
300502.SZ,新易盛,0.22890778286461755,563.7,54.748785615892125,-0.10210258043963032,0.06324256708917886
600590.SH,泰豪科技,0.22737642585551332,16.14,58.077994428969355,-0.13038793103448268,0.06800519658554977
601588.SH,北辰实业,0.2267441860465116,2.11,63.49206349206349,-0.07456140350877191,0.06524971394661784
920179.BJ,凯德石英,0.22621756941283588,53.88,64.26531259917486,-0.07103448275862065,0.07431865414724965
688600.SH,皖仪科技,0.22442105263157885,29.08,63.585434173669434,-0.0619354838709678,0.05207625948116844
605090.SH,九丰能源,0.22396502957058373,47.6,62.83464566929134,-0.044943820224719135,0.06601678348819899
001300.SZ,三柏硕,0.223582474226804,18.99,63.95833333333333,-0.010422094841063202,0.04844407993489967
301181.SZ,标榜股份,0.22222222222222232,48.95,52.69427112875781,-0.09014869888475827,0.043355761389465036
002421.SZ,达实智能,0.221774193548387,3.03,60.000000000000014,-0.01623376623376632,0.04009281411875253
300782.SZ,卓胜微,0.22172923777019338,107.39,53.72481946028126,-0.09436667228875019,0.04244221417853205
600480.SH,凌云股份,0.22126745435016093,11.37,47.393364928909946,-0.050125313283208135,0.055978247788934586
688376.SH,美埃科技,0.22111942726976896,75.05,50.72621641249091,-0.024057217165149653,0.03311986219310553
688226.SH,威腾电气,0.22048066875653083,58.4,57.99151343705798,-0.09597523219814236,0.05645053775955961
300037.SZ,新宙邦,0.217564870259481,67.1,57.13150576082637,-0.0790557233049685,0.0476713397694931
300988.SZ,津荣天宇,0.2151847340641495,29.93,63.88888888888888,-0.020615183246073268,0.03351995403255039
600343.SH,航天动力,0.21508113267578732,38.19,59.00928792569659,-0.04285714285714288,0.05675312112699647
300990.SZ,同飞股份,0.21506507164453814,92.43,57.471521107884755,-0.02510283725345423,0.03818275991859744
603798.SH,康普顿,0.21433311214333117,18.3,61.40624999999999,-0.0542635658914729,0.047056003238021255
300913.SZ,兆龙互连,0.21427102611556648,59.05,64.57286432160804,-0.008895602551191694,0.03754751056283637
600166.SH,福田汽车,0.21333333333333337,3.64,60.952380952380935,-0.05699481865284968,0.04424385299604656
300620.SZ,光库科技,0.21322389420884624,266.06,64.52282157676349,-0.05752745306411622,0.05491722803162742
688682.SH,霍莱沃,0.213161659513591,50.88,59.05109489051095,-0.01357115160915075,0.04604615257391136
301306.SZ,西测测试,0.21199999999999997,169.68,47.550177095631646,-0.09984084880636601,0.05643542629049835
300249.SZ,依米康,0.21118421052631575,18.41,54.85893416927896,-0.018656716417910522,0.02616915823357717
